Flight Number,Type,Origin,Destination,Departure Time,Estimated Arrival Time
DAL168,B763,John F Kennedy Intl (KJFK),Barcelona Int'l (BCN / LEBL),Wed 09:00PM EST,Thu 10:08AM CET
DAL1687,BCS1,Ontario Intl (KONT),Seattle-Tacoma Intl (KSEA),Wed 07:10PM PST,Wed 09:25PM PST
DAL1689,B738,Phoenix Sky Harbor Intl (KPHX),Seattle-Tacoma Intl (KSEA),Wed 08:11PM MST,Wed 09:44PM PST
DAL1690,B739,Hartsfield-Jackson Intl (KATL),Cincinnati/Northern Kentucky International Airport (KCVG),Wed 10:12PM EST,Wed 11:11PM EST
DAL1695,A321,Miami Intl (KMIA),LaGuardia (KLGA),Wed 08:30PM EST,Wed 10:52PM EST
DAL171,A359,Minneapolis/St Paul Intl (KMSP),Incheon Int'l (ICN / RKSI),Wed 10:31AM CST,Thu 02:59PM KST
DAL172,A333,John F Kennedy Intl (KJFK),Malpensa Int'l (MXP / LIMC),Wed 09:10PM EST,Thu 10:27AM CET
DAL1749,A321,Minneapolis/St Paul Intl (KMSP),Southwest Florida Intl (KRSW),Wed 06:35PM CST,Wed 10:36PM EST
DAL178,A333,Portland Intl (KPDX),Amsterdam Schiphol (AMS / EHAM),Wed 05:45PM PST,Thu 11:35AM CET
DAL1837,B738,Los Cabos Int'l (SJD / MMSD),Seattle-Tacoma Intl (KSEA),Wed 05:31PM MST,Wed 08:37PM PST
DAL197,A339,Seattle-Tacoma Intl (KSEA),Incheon Int'l (ICN / RKSI),Wed 11:13AM PST,Thu 03:57PM KST
DAL20,A339,Seattle-Tacoma Intl (KSEA),London Heathrow (LHR / EGLL),Wed 07:12PM PST,Thu 11:51AM GMT
DAL2001,B712,Detroit Metro Wayne Co (KDTW),Newark Liberty Intl (KEWR),Wed 10:30PM EST,Wed 11:27PM EST
DAL2029,B739,John F Kennedy Intl (KJFK),Boston Logan Intl (KBOS),Wed 10:29PM EST,Wed 11:02PM EST
DAL2036,B739,Los Angeles Intl (KLAX),Harry Reid Intl (KLAS),Wed 07:31PM PST,Wed 08:12PM PST
DAL2051,A320,Hartsfield-Jackson Intl (KATL),William P Hobby (KHOU),Wed 09:00PM EST,Wed 10:00PM CST
DAL2064,A320,Hartsfield-Jackson Intl (KATL),Rhode Island T. F. Green International Airport (KPVD),Wed 08:56PM EST,Wed 10:44PM EST
